Longitude,Latitude,Field,Data,Crop,Altitude(m),Yield mass (tonne/ha)
-51.04123333,-22.67019166,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,401.31,3.1039999999999996
-51.041255,-22.67017166,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,401.51,3.213
-51.04128666,-22.670154999999998,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,401.91,3.451
-51.04132166,-22.67013999,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,401.71,1.52
-51.04140333,-22.67011,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,401.01,2.129
-51.04138833,-22.67013,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,401.31,3.1210000000000004
-51.04136166,-22.67015666,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,401.01,2.94
-51.04133166,-22.670185,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,401.31,3.072
-51.04129999,-22.67021166,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,401.51,4.49
-51.04125833,-22.67023833,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,400.91,2.541
-51.04121666,-22.67027333,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,400.71,2.783
-51.04117666,-22.67029833,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,400.51,3.424
